event,n_origin_nodes,origin_pred_6m,hop1_n_nodes,hop1_attenuation_ratio,hop2_n_nodes,hop2_attenuation_ratio,hop3_n_nodes,hop3_attenuation_ratio,hop4_n_nodes,hop4_attenuation_ratio,hop5_n_nodes,hop5_attenuation_ratio,effective_cascade_hop
us_232_steel_2018,33,0.008696136064827442,1483,0.9832144975662231,727,0.9683317542076111,1,0.6119211912155151,0,,0,,
us_232_aluminum_2018,44,0.008734665811061859,1619,0.9751570224761963,580,0.9700381755828857,1,0.6092219352722168,0,,0,,
us_301_list1_2018,43,0.00331918615847826,1695,0.6525623798370361,505,0.5529688000679016,1,0.11249767988920212,0,,0,,
us_301_list2_2018,43,0.0033090882934629917,1695,0.6541198492050171,505,0.5542823076248169,1,0.11344438791275024,0,,0,,
eu_retaliation_2018,524,0.0016105511458590627,1513,1.4394972324371338,207,1.8243552446365356,0,,0,,0,,
uk_global_tariff_2021,54,0.013018556870520115,1489,0.8953746557235718,698,0.9427351355552673,3,1.1784753799438477,0,,0,,
