model_name,fold,val_event,RMSE_3m,MAE_3m,R2_3m,DirAcc_3m,RMSE_6m,MAE_6m,R2_6m,DirAcc_6m,RMSE_12m,MAE_12m,R2_12m,DirAcc_12m
TSPN,0,us_232_steel_2018,0.0088690547272562,0.0047788941301405,-0.2133480138466108,0.9464285714285714,0.0139268059283494,0.0081478171050548,-0.1967510295924586,0.8392857142857143,0.0107942158356308,0.0069350842386484,-0.1394023975914795,0.8973214285714286
TSPN,1,us_232_aluminum_2018,0.0088690537959337,0.0047788941301405,-0.2133478428247879,0.9464285714285714,0.013926806859672,0.0081478171050548,-0.1967513032337491,0.8392857142857143,0.0107942158356308,0.0069350847043097,-0.1394023975914795,0.8973214285714286
TSPN,2,us_301_list1_2018,0.016610762104392,0.0084574501961469,0.0152282769500265,0.4196428571428571,0.0099652055650949,0.0051572462543845,0.0859075593271816,0.5416666666666666,0.0315110757946968,0.027673976495862,-3.509064120382072,0.4821428571428571
TSPN,3,us_301_list2_2018,0.0166139379143714,0.0084632579237222,0.014851719048551,0.4196428571428571,0.0099669732153415,0.0051558101549744,0.085583123370166,0.5416666666666666,0.0315041877329349,0.0276657287031412,-3.507092902022915,0.4821428571428571
TSPN,4,eu_retaliation_2018,0.0106143578886985,0.0060468981973826,-0.337512138090752,0.5997023809523809,0.0169231202453374,0.0070326263085007,-0.0587761464824405,0.4568452380952381,0.0271413624286651,0.0227909460663795,-2.2569958638745304,0.7217261904761905
TSPN,5,uk_global_tariff_2021,0.0205282215029001,0.0121417827904224,-0.4402615651300856,0.9836309523809524,0.0339720211923122,0.0173938237130641,-0.3388474005912618,0.988095238095238,0.1008626371622085,0.0738933533430099,-1.182731785035848,0.9925595238095238
TSPN_GCN,0,us_232_steel_2018,0.0108431912958621,0.007590617518872,-0.8136142606204979,0.6636904761904762,0.0142453480511903,0.0088252499699592,-0.2521228920299716,0.8452380952380952,0.0127032995223999,0.0075742891058325,-0.5780763322627063,0.8675595238095238
TSPN_GCN,1,us_232_aluminum_2018,0.0108431912958621,0.007590617518872,-0.8136142606204979,0.6636904761904762,0.0142453480511903,0.0088252499699592,-0.2521227552093263,0.8452380952380952,0.0127033004537224,0.0075742886401712,-0.5780764406842875,0.8675595238095238
TSPN_GCN,2,us_301_list1_2018,0.0153365163132548,0.0078736338764429,0.1605207452300885,0.3586309523809524,0.0093757547438144,0.0051808301359415,0.190847997416759,0.6592261904761905,0.0208034086972475,0.0158091839402914,-0.96530027346929,0.4955357142857143
TSPN_GCN,3,us_301_list2_2018,0.0153365200385451,0.0078736441209912,0.1605204286618653,0.3586309523809524,0.0093757659196853,0.0051808441057801,0.1908461093811488,0.6592261904761905,0.0208034142851829,0.0158091876655817,-0.9653014818172828,0.4955357142857143
TSPN_GCN,4,eu_retaliation_2018,0.0135465487837791,0.0093982890248298,-1.1785504182808286,0.0863095238095238,0.015155523084104,0.0063197826966643,0.1508486381014824,0.625,0.0194627866148948,0.0145715828984975,-0.6748037526701285,0.7038690476190477
TSPN_GCN,5,uk_global_tariff_2021,0.0249672830104827,0.0153850661590695,-1.1304988218671106,0.6220238095238095,0.0326700471341609,0.0172700770199298,-0.2381913038968726,0.9851190476190476,0.1051150932908058,0.0796507969498634,-1.370663468524857,0.9300595238095238
TSPN_NoTemporal,0,us_232_steel_2018,0.00886922609061,0.0049985251389443,-0.2133949593369963,0.9717261904761904,0.0127306319773197,0.0073678502812981,-1.7102580662786693e-06,0.8616071428571429,0.0148042170330882,0.0125476093962788,-1.143215367761667,0.8973214285714286
TSPN_NoTemporal,1,us_232_aluminum_2018,0.008869219571352,0.0049985172227025,-0.2133929925860329,0.9717261904761904,0.0127306310459971,0.007367848418653,-1.50502709828082e-06,0.8616071428571429,0.0148054026067256,0.0125490371137857,-1.1435584136448127,0.8973214285714286
TSPN_NoTemporal,2,us_301_list1_2018,0.0179938469082117,0.0092483600601553,-0.1555920945633602,0.2544642857142857,0.0117142684757709,0.0062044425867497,-0.2631297058011883,0.6116071428571429,0.0261201541870832,0.0210533402860164,-2.098213719301164,0.4821428571428571
TSPN_NoTemporal,3,us_301_list2_2018,0.0179938469082117,0.0092483600601553,-0.1555920945633602,0.2544642857142857,0.0117142684757709,0.0062044421210885,-0.2631297058011883,0.6116071428571429,0.026120152324438,0.0210533402860164,-2.098213517909832,0.4821428571428571
TSPN_NoTemporal,4,eu_retaliation_2018,0.0106635289266705,0.0053017190657556,-0.3499329875382817,0.8139880952380952,0.0180825721472501,0.0093770343810319,-0.2088255870441626,0.4285714285714285,0.0220614802092313,0.0163961760699749,-1.1519056491230684,0.7217261904761905
TSPN_NoTemporal,5,uk_global_tariff_2021,0.0183501206338405,0.0093191349878907,-0.1508443595168513,0.988095238095238,0.0361916981637477,0.0214325971901416,-0.5195192445118026,0.9940476190476192,0.1054271608591079,0.079754389822483,-1.3847606665096013,0.9895833333333334
TSPN_NoShock,0,us_232_steel_2018,0.0116659346967935,0.0077956332825124,-1.0992771420611582,0.4226190476190476,0.0142098078504204,0.008085923269391,-0.2458829128595467,0.8377976190476191,0.0129300244152545,0.0083574233576655,-0.6349089735772269,0.8973214285714286
TSPN_NoShock,1,us_232_aluminum_2018,0.0104253869503736,0.0055778948590159,-0.6765443740917672,0.9107142857142856,0.0141975246369838,0.0085415001958608,-0.243729766364382,0.8526785714285714,0.0115416022017598,0.0073677394539117,-0.3026481103853129,0.8973214285714286
TSPN_NoShock,2,us_301_list1_2018,0.0161141585558652,0.007800948806107,0.07323053993797,0.3125,0.0095050819218158,0.0051874597556889,0.1683715458133371,0.65625,0.0196100212633609,0.0145757794380187,-0.7462886094875054,0.5029761904761905
