model_name,fold,val_event,RMSE_3m,MAE_3m,R2_3m,DirAcc_3m,RMSE_6m,MAE_6m,R2_6m,DirAcc_6m,RMSE_12m,MAE_12m,R2_12m,DirAcc_12m
Leontief_IO,0,us_232_steel_2018,0.0838593449576975,0.0183599099916051,-107.4759890614407,0.0208333333333333,0.084819852593175,0.0213371955325906,-43.39109127198827,0.1279761904761904,0.0846084232736081,0.0208037750989509,-69.00387755968485,0.0982142857142857
Leontief_IO,1,us_232_aluminum_2018,0.0414233967614492,0.0130358036938828,-25.46805963133872,0.0208333333333333,0.0430588755979616,0.0161645073243979,-10.440003686959878,0.1279761904761904,0.0425574968219994,0.0156157914254419,-16.71116152040393,0.0982142857142857
Leontief_IO,2,us_301_list1_2018,0.0449023328363539,0.0138655636096083,-6.196052068479456,0.6815476190476191,0.0432606593958425,0.012864027683262,-16.22677091861605,0.3511904761904761,0.0441269317544924,0.0141071700566191,-7.842343894042726,0.4791666666666667
Leontief_IO,3,us_301_list2_2018,0.0448883283564071,0.0138575979407046,-6.191564049929768,0.6815476190476191,0.0432453896388481,0.0128556331214523,-16.21461196472413,0.3511904761904761,0.0441116077960999,0.0140988729344039,-7.83620359934981,0.4791666666666667
Leontief_IO,4,eu_retaliation_2018,0.0822883012923828,0.0341999807336285,-79.387125483747,0.1279761904761904,0.0824531973955352,0.034196148122042,-24.13380441839754,0.5401785714285714,0.0833464799649414,0.0370241283932779,-29.713439395820764,0.2633928571428571
MLP_no_graph,0,us_232_steel_2018,0.0067011015489697,0.0040760226547718,0.3073352371482658,0.8913690476190477,0.0105032380670309,0.0069343382492661,0.3193133218089303,0.9285714285714286,0.0194522887468338,0.0111571922898292,-2.700294993438326,0.8779761904761905
MLP_no_graph,1,us_232_aluminum_2018,0.0066372854635119,0.0040570795536041,0.3204652238239556,0.9077380952380952,0.010481022298336,0.0070206532254815,0.3221898390558226,0.9241071428571428,0.019343601539731,0.0112964725121855,-2.659060097648813,0.8824404761904762
MLP_no_graph,2,us_301_list1_2018,0.0109147867187857,0.007775985635817,0.5748061395557773,0.3526785714285714,0.0104591948911547,0.0072493227198719,-0.0069644020581016,0.6502976190476191,0.0239706356078386,0.0174045842140913,-1.609270002740936,0.5714285714285714
MLP_no_graph,3,us_301_list2_2018,0.0109293889254331,0.0077961143106222,0.5736676810831571,0.3541666666666667,0.01045991666615,0.007256977725774,-0.0071034023014031,0.6502976190476191,0.0239769387990236,0.017410758882761,-1.6106422832782563,0.5714285714285714
MLP_no_graph,4,eu_retaliation_2018,0.0127691896632313,0.0070056496188044,-0.9356951510486882,0.7142857142857143,0.0217800624668598,0.0130527867004275,-0.7537248474933693,0.3973214285714285,0.0255602244287729,0.0188184920698404,-1.888572458275016,0.6979166666666666
MLP_no_graph,5,uk_global_tariff_2021,0.0248197484761476,0.0171581897884607,-1.1053943715630528,0.4851190476190476,0.0377674847841262,0.0192768536508083,-0.65471953237406,0.9315476190476192,0.1103491187095642,0.0796554535627365,-1.612627509221237,0.8095238095238095
Panel_VAR,0,us_232_steel_2018,0.0098635051399469,0.0062322914600372,-0.5006976835265111,0.7172619047619048,0.0138213923200964,0.0088912704959511,-0.1787030182702764,0.7008928571428571,0.0112755335867404,0.0074153393507003,-0.2432804640790626,0.7351190476190477
Panel_VAR,1,us_232_aluminum_2018,0.0098635051399469,0.0062322914600372,-0.5006976835265111,0.7172619047619048,0.0138213923200964,0.0088912704959511,-0.1787030182702764,0.7008928571428571,0.0112755335867404,0.0074153393507003,-0.2432804640790626,0.7351190476190477
Panel_VAR,2,us_301_list1_2018,0.018204491585493,0.0100490888580679,-0.1828061192954109,0.1116071428571428,0.011983735486865,0.0080347498878836,-0.3219103777050958,0.46875,0.0201157554984092,0.0138203185051679,-0.8375225079987603,0.4285714285714285
Panel_VAR,3,us_301_list2_2018,0.018204491585493,0.0100490888580679,-0.1828061192954109,0.1116071428571428,0.011983735486865,0.0080347498878836,-0.3219103777050958,0.46875,0.0201157554984092,0.0138203185051679,-0.8375225079987603,0.4285714285714285
Panel_VAR,4,eu_retaliation_2018,0.0093028713017702,0.0047931959852576,-0.0274113051487223,0.6726190476190477,0.017520660534501,0.0083252089098095,-0.1348650152158226,0.40625,0.0164635330438613,0.0100259268656373,-0.1983950013549174,0.5580357142857143
Panel_VAR,5,uk_global_tariff_2021,0.02442128211259842,0.015465503558516502,-1.0383354915952832,0.7053571428571429,0.04366346076130867,0.02766873687505722,-1.2116917391990172,0.6458333333333334,0.10710197687149048,0.08256489038467407,-1.4611308922762363,0.6949404761904762
